# SITE INFORMATION TYPE = 1|STATE_CODE|STATE_NAME|COUNTY_CODE|COUNTY_NAME|SITE_ID|PARAMETER_CODE|PARAMETER_DESC|CITY_CODE|CITY_NAME|STREET_ADDRESS|AQCR_CODE|AQCR_NAME|CBSA_CODE|CBSA_NAME|CSA_CODE|CSA_NAME|EPA_REGION|UAR_CODE|UAR_NAME|LAND_USE|LOC_SET|LATITUDE|LONGITUDE|UTM_ZONE|UTM_NORTHING|UTM_EASTING|HORIZ_COLLECT|HORIZ_METHOD|HORIZ_DATUM|HORIZ_ACC|HORIZ_SCALE|ELEVATION_MSL|VERT_COLLECT|VERT_METHOD|VERT_DATUM|VERT_ACC
# DAILY VALUE TYPE = 2|STATE_CODE|COUNTY_CODE|SITE_ID|PARAMETER_CODE|UNITS|PRIMARY_MONITOR_POC|MONITOR_TYPE|PQAO|PQAO_NAME|SAMPLE_DATE|VALUE|SOURCE|EDT_ID
1|42|Pennsylvania|041|Cumberland|0101|88101|PM2.5 - Local Conditions|11272|Carlisle|IMPERIAL COURT|196|SOUTH CENTRAL PENNSYLVANIA|25420|Harrisburg-Carlisle, PA|276|Harrisburg-York-Lebanon, PA|03|||RESIDENTIAL|RURAL|40.246528|-77.18675||||015|GPS CODE (PSEUDO RANGE) PRECISE POSITION|WGS84|18.22|0|0|000|UNKNOWN|UNKNOWN|0
2|42|041|0101|88101|105|1|SLAMS|0851|Pennsylvania Department Of Environmental Protection|20140706|9.1|P|5
2|42|041|0101|88101|105|1|SLAMS|0851|Pennsylvania Department Of Environmental Protection|20140707|13.5|P|5
2|42|041|0101|88101|105|1|SLAMS|0851|Pennsylvania Department Of Environmental Protection|20140708|12.6|P|5
2|42|041|0101|88101|105|1|SLAMS|0851|Pennsylvania Department Of Environmental Protection|20140709|7.5|P|5
2|42|041|0101|88101|105|1|SLAMS|0851|Pennsylvania Department Of Environmental Protection|20140710|8.4|P|5
2|42|041|0101|88101|105|1|SLAMS|0851|Pennsylvania Department Of Environmental Protection|20140711|11.1|P|5
2|42|041|0101|88101|105|1|SLAMS|0851|Pennsylvania Department Of Environmental Protection|20140712|15.6|P|5
2|42|041|0101|88101|105|1|SLAMS|0851|Pennsylvania Department Of Environmental Protection|20140713|13.5|P|5
2|42|041|0101|88101|105|1|SLAMS|0851|Pennsylvania Department Of Environmental Protection|20140714|5.5|P|5
2|42|041|0101|88101|105|1|SLAMS|0851|Pennsylvania Department Of Environmental Protection|20140715|6.8|P|5
2|42|041|0101|88101|105|1|SLAMS|0851|Pennsylvania Department Of Environmental Protection|20140716|8.8|C|5
2|42|041|0101|88101|105|1|SLAMS|0851|Pennsylvania Department Of Environmental Protection|20140717|5.7|P|5
